,ID,Tissue.Qty,Plate,Plate.Row,Plate.Col,Pos,Red,Yellow,Venation,AvgLat,AvgLong,AvgAlt
58,pb0177,NA,2,E,10,2.00E+10,0.5,2,2,42.32235787,2.073236162,1214.733333
59,pb0178,NA,2,F,10,2F10,0.5,1.5,2,42.32223401,2.072850415,1200.563667
60,pb0179,NA,2,G,10,2G10,2,0.5,1,42.32220317,2.07279899,1199.777
61,pb0180,NA,2,H,10,2H10,3,1,3.5,42.3222136,2.072829885,1198.316
62,pb0181,NA,2,A,11,2A11,0.5,2.5,1.5,42.32238896,2.073346976,1197.458667
63,pb0182,NA,2,B,11,2B11,2,2.5,3.5,42.32247565,2.073494749,1196.440667
64,pb0183,NA,2,C,11,2C11,2,2.5,3.5,42.32262162,2.073933256,1197.163667
65,pb0184,NA,2,D,11,2D11,0.5,2.5,1.5,42.32258572,2.073875722,1196.083667
66,pb0185,NA,2,E,11,2.00E+11,1.5,2.5,3,42.32229753,2.073101393,1196.492333
67,pb0186,NA,2,F,11,2F11,1.5,1.5,2.5,42.32221818,2.072853802,1200.348333
68,pb0188,NA,2,H,11,2H11,1.5,1.5,3.5,42.32219355,2.072742504,1199.652333
69,pb0189,NA,2,A,12,2A12,0.5,1.5,1.5,42.32233969,2.073219638,1208.971
70,pb0190,NA,2,B,12,2B12,2,2.5,3.5,42.3223208,2.073162958,1200.1855
71,pb0191,NA,2,C,12,2C12,4,1,3.5,42.32243932,2.073527806,1199.057333
72,pb0192,NA,2,D,12,2D12,1,0.5,3,42.32250077,2.073656729,1197.965333
73,pb0193,NA,2,E,12,2.00E+12,2.5,2.5,3.5,42.32239922,2.073341576,1197.387333
74,pb0194,NA,2,F,12,2F12,4,0.5,3.5,42.32258192,2.073864358,1196.076
75,pb0195,NA,2,G,12,2G12,0.5,2.5,1,42.32238803,2.073286874,1207.199333
76,pb0196,NA,2,H,12,2H12,3,1,3.5,42.32245875,2.073252339,1190.616667
77,pb0197,NA,3,A,1,3A1,0.5,1,1.5,42.3224007,2.073338431,1197.537667
78,pb0198,1,3,B,1,3B1,2.5,1,2,42.3222065,2.072804286,1199.345
79,pb0199,NA,3,C,1,3C1,0.5,2,1.5,42.32219477,2.072754194,1196.853333
80,pb0200,NA,3,D,1,3D1,1.5,1,3,42.32219907,2.072763661,1201.377667
81,pb0201,NA,3,E,1,3.00E+01,0.5,1,1,42.32183612,2.072075545,1199.544
82,pb0202,NA,3,F,1,3F1,3,2,3.5,42.32162738,2.070644957,1204.440667
83,pb0204,NA,3,H,1,3H1,0.5,1.5,1.5,42.32210416,2.07261021,1204.5755
84,pb0205,NA,3,A,2,3A2,3,2.5,3.5,42.32164874,2.071528375,1201.455
85,pb0207,NA,3,C,2,3C2,1,2.5,3,42.32149278,2.070895204,1202.850333
86,pb0209,NA,3,D,2,3D2,0.5,2.5,1,42.32188281,2.072195107,1198.974667
87,pb0210,NA,3,E,2,3.00E+02,4,2.5,3,42.32157976,2.071379377,1201.077
88,pb0211,NA,3,F,2,3F2,2.5,2.5,3.5,42.32175305,2.071693437,1201.045
89,pb0213,NA,3,G,2,3G2,1.5,2.5,3,42.32191221,2.072310288,1200.677667
90,pb0215,NA,3,A,3,3A3,0.5,2.5,1.5,42.32149726,2.071235943,1200.322
91,pb0216,NA,3,B,3,3B3,1.5,1,2.5,42.32159863,2.071414131,1201.276
92,pb0217,NA,3,C,3,3C3,0.5,3,3,42.32182999,2.072072875,1200.23
93,pb0222,NA,3,H,3,3H3,0.5,2,2.5,42.32150733,2.07122295,1199.960333
94,pb0223,NA,3,A,4,3A4,0.5,2.5,1.5,42.32180508,2.071990662,1199.779333
95,pb0224,NA,3,B,4,3B4,4,2.5,3.5,42.32160896,2.070654867,1204.061
96,pb0225,NA,3,C,4,3C4,2.5,2.5,3.5,42.32160739,2.070662299,1203.477667
97,pb0227,NA,3,E,4,3.00E+04,0.5,2.5,2.5,42.32181997,2.072043091,1199.462
98,pb0228,NA,3,F,4,3F4,1,1,2.5,42.32186828,2.072158408,1198.961
99,pb0229,NA,3,G,4,3G4,0.5,2,2.5,42.3215716,2.07137157,1200.039333
100,pb0230,NA,3,H,4,3H4,4,2.5,3.5,42.32154447,2.070870218,1204.027667
101,pb0231,NA,3,A,5,3A5,2,2,2,42.32178946,2.07196699,1201.797667
102,pb0232,NA,3,B,5,3B5,3.5,2,3.5,42.32200154,2.072520023,1203.976667
103,pb0233,NA,3,C,5,3C5,2,0.5,3.5,42.32214942,2.072697138,1208.897667
104,pb0235,NA,3,E,5,3.00E+05,1.5,2.5,2,42.32162145,2.070663107,1202.208
105,pb0236,NA,3,F,5,3F5,3.5,1,3,42.32201804,2.072506705,1200.784
106,pb0237,NA,3,G,5,3G5,0.5,1.5,1.5,42.32173064,2.071764286,1202.905667
107,pb0238,NA,3,H,5,3H5,0.5,3,2.5,42.32218356,2.072723103,1196.871
108,pb0240,NA,3,B,6,3B6,4,2.5,3.5,42.32211742,2.072631748,1200.806333
109,pb0242,NA,3,D,6,3D6,1.5,1,2,42.32219443,2.072689584,1200.331333
110,pb0243,NA,3,E,6,3.00E+06,3,1,3,42.32201654,2.072508794,1203.657333
111,pb0244,NA,3,F,6,3F6,1.5,1,2,42.32187273,2.072146807,1198.463667
112,pb0245,NA,3,G,6,3G6,3,0.5,3,42.32197254,2.072462303,1205.673667
113,pb0246,NA,3,H,6,3H6,0.5,2.5,2.5,42.32153792,2.070871436,1201.844
114,pb0247,NA,3,A,7,3A7,4,1,3.5,42.32160852,2.070653143,1205.493667
115,pb0248,NA,3,B,7,3B7,0.5,2.5,1.5,42.32178706,2.071715179,1202.713333
116,pb0250,NA,3,D,7,3D7,3.5,2,3.5,42.32173471,2.07169021,1200.343
117,pb0251,NA,3,E,7,3.00E+07,4,1,na,42.32365577,2.080518258,1185.513
118,pb0252,NA,3,F,7,3F7,1.5,1,2.5,42.32364907,2.080507677,1186.539667
119,pb0253,NA,3,G,7,3G7,4,1,3,42.3238071,2.080974857,1180.886333
120,pb0254,NA,3,H,7,3H7,4,1,4,42.32371462,2.081619196,1181.436667
121,pb0256,NA,3,A,8,3A8,3,1,3.5,42.32366243,2.080506679,1186.434
122,pb0258,NA,3,C,8,3C8,3,0.5,3,42.32376878,2.081176039,1186.942667
123,pb0259,NA,3,D,8,3D8,3,1,3,42.32367857,2.080461533,1184.374667
124,pb0260,NA,3,E,8,3.00E+08,3,1.5,3.5,42.32375093,2.081178022,1188.872333
125,pb0261,NA,3,F,8,3F8,4,0.5,3.5,42.32368175,2.081046324,1206.659667
126,pb0263,NA,3,H,8,3H8,4,2,3.5,42.32161452,2.070629547,1204.141667
127,pb0264,NA,3,A,9,3A9,3.5,1,3,42.32360532,2.081181297,1218.097
128,pb0265,NA,3,B,9,3B9,4,1,3.5,42.32372352,2.081421899,1182.900667
129,pb0266,NA,3,C,9,3C9,1.5,1,3.5,42.32365178,2.08049765,1186.169
130,pb0267,NA,3,D,9,3D9,3.5,0.5,3,42.32373416,2.081035939,1189.598333
131,pb0268,NA,3,E,9,3.00E+09,3.5,0.5,3,42.32372771,2.081456659,1183.3205
132,pb0269,NA,3,F,9,3F9,4,1,3,42.32369909,2.080554903,1182.421333
133,pb0270,NA,3,G,9,3G9,3.5,0.5,3,42.32373819,2.081146182,1188.858667
134,pb0271,NA,3,H,9,3H9,1,2.5,2,42.32164556,2.070674369,1202.455333
135,pb0273,NA,3,B,10,3B10,4,1.5,3.5,42.32373017,2.081443104,1183.872333
136,pb0274,NA,3,C,10,3C10,4,1,3,42.32376204,2.081712438,1182.101
137,pb0276,NA,3,E,10,3.00E+10,4,1,3.5,42.32371059,2.081619969,1180.921667
138,pb0277,NA,3,F,10,3F10,4,2,3,42.32368559,2.08083901,1186.964333
139,pb0278,NA,3,G,10,3G10,3.5,0.5,na,42.32368761,2.080512609,1181.716
140,pb0279,NA,3,H,10,3H10,1.5,2.5,1.5,42.32164197,2.070665061,1201.796333
141,pb0280,NA,3,A,11,3A11,3,0.5,3,42.32374948,2.081051016,1184.028333
142,pb0281,NA,3,B,11,3B11,3,1.5,3.5,42.32362611,2.081376289,1212.518
143,pb0282,NA,3,C,11,3C11,4,1,3.5,42.32375242,2.08086732,1180.914
144,pb0283,NA,3,D,11,3D11,4,2.5,3.5,42.32379504,2.080920577,1179.676667
145,pb0284,NA,3,E,11,3.00E+11,4,0.5,3.5,42.32374631,2.081250706,1182.178333
146,pb0285,NA,3,F,11,3F11,1.5,1,2.5,42.32366599,2.080534444,1184.04025
147,pb0286,NA,3,G,11,3G11,4,1.5,3.5,42.32165331,2.070645953,1202.099
148,pb0287,NA,3,H,11,3H11,4,0.5,3,42.32365173,2.080519903,1186.567
149,pb0288,NA,3,A,12,3A12,3.5,1,3.5,42.32374263,2.081117683,1190.225333
150,pb0289,NA,3,B,12,3B12,3.5,1,3.5,42.32373153,2.080818548,1183.962667
151,pb0289,NA,3,B,12,3B12,3,0.5,3.5,42.32373153,2.080818548,1183.962667
152,pb0290,NA,3,C,12,3C12,3.5,1,3,42.3236552,2.080544899,1185.619
153,pb0291,NA,3,D,12,3D12,3.5,1,3,42.32373968,2.081287191,1184.470667
154,pb0292,NA,9,G,4,9G4,4,0.5,3,42.32371313,2.081051025,1195.658333
155,pb0292,NA,3,E,12,3.00E+12,4,0.5,3,42.32371313,2.081051025,1195.658333
156,pb0293,NA,3,F,12,3F12,4,0.5,3,42.32372635,2.081048476,1186.385667
157,pb0294,NA,3,G,12,3G12,2,1,1.5,42.32369566,2.08055609,1182.790667
158,pb0296,NA,9,F,4,9F4,3.5,2,4,42.3216456,2.070622232,1202.935667
159,pb0296,NA,4,A,1,4A1,3.5,2,4,42.3216456,2.070622232,1202.935667
160,pb0297,NA,4,B,1,4B1,0.5,2.5,3,42.32163931,2.070669928,1202.669333
161,pb0298,NA,4,C,1,4C1,2,0.5,3,42.32367127,2.080587687,1185.315
162,pb0300,NA,4,D,1,4D1,0.5,2.5,1,42.32167511,2.070467445,1202.335
163,pb0301,NA,4,E,1,4.00E+01,3,1,3.5,42.32362447,2.080352296,1187.797
164,pb0302,NA,4,F,1,4F1,4,0.5,3.5,42.32358986,2.079160748,1188.806667
165,pb0303,NA,4,G,1,4G1,3,1,1,42.32364879,2.080427263,1187.173333
166,pb0306,NA,4,H,1,4H1,4,1,3,42.32357346,2.079005801,1189.337333
167,pb0307,NA,4,A,2,4A2,4,1,3.5,42.32364053,2.080260789,1185.057333
168,pb0309,NA,4,C,2,4C2,2,3,1,42.3236391,2.079575937,1186.087
169,pb0310,NA,4,D,2,4D2,3.5,0.5,3.5,42.32357424,2.079063426,1189.077333
170,pb0311,NA,4,E,2,4.00E+02,3.5,1,3,42.32360242,2.079287862,1188.1765
171,pb0312,NA,4,F,2,4F2,4,1,3,42.323627,2.0795549,1187.969667
172,pb0313,NA,4,G,2,4G2,4,1,3,42.32360868,2.079305758,1188.694333
173,pb0314,NA,4,H,2,4H2,4.5,1,3,42.32366067,2.079858032,1185.020333
174,pb0315,NA,4,A,3,4A3,1.5,2,2.5,42.32360413,2.079297934,1187.793091
175,pb0318,NA,4,D,3,4D3,1,1.5,2.5,42.32355017,2.078760299,1182.55975
176,pb0319,NA,4,E,3,4.00E+03,1.5,2.5,3.5,42.32358884,2.079152497,1188.223
177,pb0320,NA,4,F,3,4F3,3.5,1,3.5,42.32357476,2.079071845,1188.650667
178,pb0321,NA,4,G,3,4G3,1.5,1,2,42.32358647,2.079044121,1184.435
179,pb0323,NA,4,A,4,4A4,4,1,3,42.32359228,2.079221721,1189.413333
180,pb0324,NA,4,B,4,4B4,4,0.5,3,42.3235751,2.079013794,1188.807
181,pb0326,NA,4,D,4,4D4,4,1.5,3.5,42.32362754,2.080254293,1185.132667
182,pb0327,NA,4,E,4,4.00E+04,3.5,2,3.5,42.3235836,2.079149035,1189.741
183,pb0328,1,4,F,4,4F4,na,na,na,42.32361978,2.080396325,1187.627667
184,pb0330,1,4,H,4,4H4,4,1,3.5,42.32364624,2.079587647,1184.900667
185,pb0331,NA,4,A,5,4A5,4.5,1,3.5,42.32357146,2.078965187,1189.051
186,pb0333,NA,4,C,5,4C5,4,1,3,42.32359416,2.079240806,1189.322333
187,pb0334,NA,4,D,5,4D5,1.5,0.5,1.5,42.32360433,2.079272301,1188.809
188,pb0335,NA,4,E,5,4.00E+05,3.5,1,3.5,42.32362892,2.079549537,1187.377667
189,pb0336,NA,4,F,5,4F5,4,0.5,3.5,42.32360931,2.079300541,1188.592667
190,pb0337,NA,4,G,5,4G5,4,1,3,42.32361277,2.079333048,1187.232667
191,pb0338,NA,4,H,5,4H5,4,0.5,3,42.3235484,2.078763648,1180.914667
192,pb0339,NA,4,A,6,4A6,4,1,3.5,42.32362923,2.079576061,1187.693333
193,pb0343,NA,4,D,6,4D6,3,1,3,42.32364169,2.080488053,1189.578
194,pb0344,NA,4,E,6,4.00E+06,2.5,0.5,2,42.32357633,2.079044999,1188.263667
195,pb0345,NA,4,F,6,4F6,3,1,3.5,42.32364871,2.07964289,1186.527
196,pb0346,NA,4,G,6,4G6,3.5,1,3.5,42.3236927,2.080308902,1179.291
197,pb0347,NA,4,H,6,4H6,3.5,1,3,42.32364439,2.080463957,1187.830667
198,pb0349,NA,4,B,7,4B7,4,2.5,3.5,42.3236443,2.080028304,1184.844333
199,pb0350,NA,4,C,7,4C7,3,0.5,3,42.32365856,2.079845731,1185.229333
200,pb0352,NA,4,E,7,4.00E+07,3.5,1,3,42.32361819,2.079343463,1184.322333
201,pb0353,NA,4,F,7,4F7,4,0.5,3,42.32356616,2.078910162,1181.987333
202,pb0354,NA,4,G,7,4G7,4,0.5,3,42.32357845,2.079020027,1182.446
203,pb0355,NA,4,H,7,4H7,3,1.5,3,42.32362011,2.079289317,1184.330333
204,pb0356,NA,4,A,8,4A8,3.5,0.5,3,42.32357882,2.079010056,1182.555
205,pb0357,NA,4,B,8,4B8,4,1,3.5,42.32364673,2.079619735,1185.368333
206,pb0358,NA,4,C,8,4C8,1.5,1,1.5,42.32349091,2.078026074,1185.292667
207,pb0358,NA,4,C,8,4C8,2,1,2.5,42.32349091,2.078026074,1185.292667
208,pb0359,1,4,D,8,4D8,3.5,0.5,3,42.32361854,2.079293527,1184.3575
209,pb0360,NA,4,E,8,4.00E+08,4.5,0.5,3,42.32356521,2.078911585,1182.639
210,pb0362,NA,4,G,8,4G8,1.5,2.5,3.5,42.32358023,2.078996713,1184.644
211,pb0363,1,4,H,8,4H8,4,0.5,3.5,42.32360572,2.079219076,1185.4345
212,pb0364,NA,5,G,9,5G9,3.5,1,3,42.32359479,2.079136284,1184.65
213,pb0366,NA,4,A,9,4A9,4,0.5,3,42.32361984,2.079412438,1183.65
214,pb0368,NA,4,B,9,4B9,3.5,0.5,3.5,42.32361428,2.079334092,1184.390333
215,pb0370,NA,4,D,9,4D9,3.5,1,1,42.32361074,2.079287933,1184.242667
216,pb0372,NA,4,E,9,4.00E+09,3.5,1.5,3,42.32379441,2.080700187,1165.803333
217,pb0374,NA,4,F,9,4F9,1.5,1,1.5,42.32360197,2.079210066,1186.63875
218,pb0375,NA,4,G,9,4G9,4,1,3,42.32354618,2.078744207,1181.836
219,pb0376,NA,4,H,9,4H9,4,1,4,42.32359831,2.079203898,1185.389333
220,pb0377,NA,4,A,10,4A10,3.5,0.5,3,42.32245223,2.073676207,1197.542
221,pb0378,NA,4,B,10,4B10,1,2.5,2.5,42.32364991,2.079654843,1184.19
222,pb0380,NA,4,C,10,4C10,1.5,1,2.5,42.32360106,2.079247369,1184.918
223,pb0381,NA,4,D,10,4D10,3,1,3.5,42.32362361,2.079278818,1184.818333
224,pb0382,NA,4,E,10,4.00E+10,4,1,3.5,42.32356188,2.078738873,1186.892
225,pb0384,NA,4,G,10,4G10,3.5,1,3.5,42.32365552,2.079763523,1182.50125
226,pb0385,NA,4,H,10,4H10,4,1,4,42.32361455,2.079290779,1184.281
227,pb0387,NA,4,A,11,4A11,3.5,1,1,42.3236518,2.079588379,1184.443667
228,pb0389,NA,4,C,11,4C11,4,0.5,3.5,42.32357576,2.07893731,1185.402667
229,pb0390,NA,4,D,11,4D11,1.5,1,1.5,42.32360826,2.079270887,1185.144333
230,pb0392,NA,4,F,11,4F11,0.5,1.5,1.5,42.32263043,2.069720359,1226.371333
231,pb0393,NA,4,G,11,4G11,4,0.5,3.5,42.32363075,2.079514785,1184.379667
232,pb0393,NA,4,G,11,4G11,4,0.5,3.5,42.32363075,2.079514785,1184.379667
233,pb0395,NA,4,A,12,4A12,3.5,0.5,3.5,42.32364929,2.079605576,1187.691667
234,pb0396,NA,4,B,12,4B12,3,1,2,42.3236525,2.079553302,1183.653333
235,pb0397,NA,4,C,12,4C12,4,0.5,3.5,42.32365581,2.079777455,1189.261
236,pb0398,NA,4,D,12,4D12,4,1,1,42.3236152,2.079254449,1184.474
237,pb0400,NA,4,F,12,4F12,3,1,2.5,42.32361185,2.079332629,1184.046333
238,pb0401,NA,4,G,12,4G12,3,0.5,3,42.32320515,2.076732992,1193.514
239,pb0402,NA,4,H,12,4H12,0.5,2.5,1.5,42.32262694,2.069720805,1225.604333
240,pb0403,1,5,A,1,5A1,3.5,2.5,3.5,42.32285862,2.069382856,1221.651333
241,pb0405,NA,5,B,1,5B1,0.5,2.5,2.5,42.3227693,2.069518595,1226.191333
242,pb0407,NA,5,C,1,5C1,2,0.5,na,42.32237795,2.073535775,1200.62
243,pb0408,NA,5,D,1,5D1,0.5,1.5,1.5,42.32271455,2.069616216,1228.002667
244,pb0409,NA,5,E,1,5.00E+01,0.5,2.5,1.5,42.32257867,2.069784877,1224.676
245,pb0410,1,5,F,1,5F1,1,2.5,3.5,42.32341323,2.068459558,1215.715667
246,pb0412,NA,5,G,1,5G1,4,1.5,3.5,42.32310689,2.076186824,1198.233667
247,pb0413,NA,5,H,1,5H1,0.5,2.5,1.5,42.32150636,2.071340743,1202.866
248,pb0414,NA,5,A,2,5A2,3.5,1,3,42.32314515,2.076858185,1216.155333
249,pb0415,NA,5,B,2,5B2,2,1,2.5,42.32285285,2.069429705,1222.962
250,pb0418,NA,5,D,2,5D2,2,2.5,2.5,42.32340561,2.068484461,1216.779
251,pb0422,NA,5,H,2,5H2,0.5,2.5,1.5,42.3226363,2.069715626,1226.127667
252,pb0425,NA,5,C,3,5C3,2,1,4,42.32284178,2.075306013,1199.002
253,pb0427,NA,5,D,3,5D3,0.5,2,2.5,42.32274638,2.069550267,1225.862
254,pb0429,NA,5,F,3,5F3,0.5,2.5,1,42.32264544,2.069736681,1227.569333
255,pb0432,1,5,G,3,5G3,0.5,2.5,3,42.32284604,2.069416534,1222.470667
256,pb0435,NA,5,H,3,5H3,2.5,1.5,1,42.32282934,2.069433247,1222.617333
257,pb0436,NA,5,A,4,5A4,0.5,1.5,2.5,42.32317406,2.076892579,1222.9495
258,pb0437,NA,5,B,4,5B4,0.5,2.5,3,42.32282442,2.068785485,1212.436333
259,pb0440,NA,5,D,4,5D4,0.5,2.5,1,42.3233417,2.068711985,1191.76125
260,pb0441,NA,5,E,4,5.00E+04,2,1,3.5,42.32284593,2.069439982,1225.140333
261,pb0442,NA,5,F,4,5F4,4,1,3,42.32329127,2.07697012,1197.866667
262,pb0443,NA,5,G,4,5G4,3.5,2.5,3.5,42.32320064,2.076718483,1192.242333
263,pb0445,NA,5,H,4,5H4,0.5,2.5,1.5,42.32280164,2.069499422,1224.196667
264,pb0448,NA,5,B,5,5B5,1.5,2.5,3.5,42.3231971,2.076731266,1195.240333
265,pb0450,NA,5,C,5,5C5,0.5,2,1,42.32283417,2.069449193,1224.073
266,pb0451,NA,5,D,5,5D5,4,2.5,3.5,42.32271856,2.074364316,1197.307333
267,pb0454,NA,5,F,5,5F5,0.5,2.5,1,42.32282181,2.069496764,1225.649
268,pb0456,NA,5,H,5,5H5,0.5,3,1.5,42.3233477,2.068782143,1182.61725
269,pb0458,NA,5,A,6,5A6,2,1,3,42.32336176,2.068642614,1194.324333
270,pb0460,NA,5,C,6,5C6,0.5,2.5,1.5,42.32251672,2.073721233,1202.896
271,pb0461,NA,5,D,6,5D6,0.5,2,2.5,42.32281676,2.074848829,1195.511667
272,pb0463,NA,5,F,6,5F6,4,1,3,42.32364394,2.079889223,1185.205667
273,pb0464,NA,5,G,6,5G6,3.5,2.5,3.5,42.32227583,2.073259597,1200.194333
274,pb0468,NA,5,A,7,5A7,2,2.5,3.5,42.3226982,2.074350035,1199.028333
275,pb0469,NA,5,B,7,5B7,4,0.5,3,42.32364158,2.079588121,1186.958667
276,pb0472,NA,5,C,7,5C7,3,1,1,42.32361873,2.079744956,1187.665
277,pb0474,NA,5,D,7,5D7,1.5,1.5,2.5,42.32265377,2.074176329,1201.835
278,pb0476,NA,5,E,7,5.00E+07,4.5,1,3.5,42.32364204,2.079692465,1186.725333
279,pb0480,NA,5,G,7,5G7,0.5,2.5,3,42.32263187,2.069752993,1227.546667
280,pb0482,NA,5,H,7,5H7,2,2.5,3,42.32279705,2.075065516,1195.039
281,pb0484,NA,5,A,8,5A8,0.5,3,1.5,42.32363445,2.079736816,1186.409
282,pb0484,NA,5,A,8,5A8,4,0.5,3,42.32363445,2.079736816,1186.409
283,pb0485,NA,5,B,8,5B8,4,0.5,3,42.3235168,2.07840004,1188.821667
284,pb0487,NA,5,D,8,5D8,2,1,1,42.32363093,2.079566862,1186.675667
285,pb0489,NA,5,E,8,5.00E+08,4,1,3.5,42.32362367,2.079536788,1186.679
286,pb0491,NA,5,F,8,5F8,4,0.5,3,42.32362932,2.079866966,1186.63
287,pb0494,NA,5,G,8,5G8,4.5,0.5,3,42.3235453,2.079922626,1212.70225
288,pb0495,NA,5,H,8,5H8,0.5,0.5,1,42.3228959,2.075644808,1193.6595
289,pb0498,NA,5,A,9,5A9,3.5,0.5,3,42.32363993,2.079864798,1186.391
290,pb0500,NA,5,B,9,5B9,0.5,2.5,1.5,42.32281345,2.069497357,1223.682333
291,pb0526,NA,5,C,9,5C9,0.5,2.5,1.5,42.33029459,2.069856584,1412.441333
292,pb0526,NA,5,C,9,5C9,0.5,2.5,1.5,42.32338819,2.068278543,1214.71
293,pb0539,NA,5,D,9,5D9,0.5,2.5,1,42.3233917,2.068263662,1214.491333
