PlantID	PlantID_UPPER	PlantID_LongFormat	PlantID_longFormat_refVersion	Batch	Batch_PlantID	PlantID_Batch	Species	Location	Coverage_mean	Coverage_stdev	GT_percentage	MappingQuality	InsertSize_median	Coverage_rank	Coverage_rank_MEGA	Coverage_bin	Latitude	Longitude	Altitude	Pool	bamFILE	ColorClass_1	Comments
pb4318	PB4318	10x-11_Am_Pla_pb4318	10x-11_Am_Pla_pb4318_v3.5	10x	10x_PB4318	PB4318_10x	Am	Pla	21.8062	162.2967	35.51	43.1995	191	1070	956	High	42.32296171	2.075613979	1201.182333	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-11_Am_Pla_pb4318_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb4563	PB4563	10x-12_Am_Pla_pb4563	10x-12_Am_Pla_pb4563_v3.5	10x	10x_PB4563	PB4563_10x	Am	Pla	16.8621	113.4702	35.61	42.7859	194	1062	948	High	42.32257557	2.070000085	1221.202667	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-12_Am_Pla_pb4563_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb1008	PB1008	10x-14_Am_Pla_pb1008	10x2-14_Am_Pla_pb1008_v3.5	10x2	10x2_PB1008	PB1008_10x2	Am	Pla	25.3445	309.4169	36	42.1521	190	1071	957	High	42.32193799	2.08869409	1198.908	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x2-14_Am_Pla_pb1008_v3.5.sorted.BXnum.merged.bam	FR	
pb1196	PB1196	10x-13_Am_Pla_pb1196	10x2-13_Am_Pla_pb1196_v3.5	10x2	10x2_PB1196	PB1196_10x2	Am	Pla	19.4842	162.7217	35.9	41.9262	197	1064	950	High	42.32355876	2.084526423	1192.413	MF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x2-13_Am_Pla_pb1196_v3.5.sorted.BXnum.merged.bam	FR	
pb1253	PB1253	10x-15_Am_Pla_pb1253	10x2-15_Am_Pla_pb1253_v3.5	10x2	10x2_PB1253	PB1253_10x2	Am	Pla	19.7656	269.1718	36.16	41.4098	194	1065	951	High	42.32089515	2.096052707	1245.775	MF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x2-15_Am_Pla_pb1253_v3.5.sorted.BXnum.merged.bam	FR	
pb1682	PB1682	10x-16_Am_Pla_pb1682	10x2-16_Am_Pla_pb1682_v3.5	10x2	10x2_PB1682	PB1682_10x2	Am	Pla	17.5059	225.9873	36.02	41.2437	188	1063	949	High	42.3251557	2.059142502	1247.496	YF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x2-16_Am_Pla_pb1682_v3.5.sorted.BXnum.merged.bam	Ye	
pb1687	PB1687	10x-18_Am_Pla_pb1687	10x2-18_Am_Pla_pb1687_v3.5	10x2	10x2_PB1687	PB1687_10x2	Am	Pla	21.1414	179.254	35.87	41.6935	187	1068	954	High	42.32458854	2.064561245	1219.88	YF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x2-18_Am_Pla_pb1687_v3.5.sorted.BXnum.merged.bam	Ye	
pb2190	PB2190	10x-17_Am_Pla_pb2190	10x2-17_Am_Pla_pb2190_v3.5	10x2	10x2_PB2190	PB2190_10x2	Am	Pla	20.2573	150.8933	35.78	41.7852	191	1067	953	High	42.32548758	2.052242293	1284.645	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x2-17_Am_Pla_pb2190_v3.5.sorted.BXnum.merged.bam	Ye	
pa1499	PA1499	2x-N710-1_Am_Pla_pa1499	10xNEW-Plate10-1_Am_Pla_pa1499_v3.5	10xNEW	10xNEW_PA1499	PA1499_10xNEW	Am	Pla	7.6448	93.0818	36.13	40.9936	188	939	825	High					/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-1_Am_Pla_pa1499_v3.5.sorted.BXnum.merged.bam	Ye	
pb0810	PB0810	2x-N709-32_Am_Pla_pb0810	10xNEW-Plate9-1_Am_Pla_pb0810_v3.5	10xNEW	10xNEW_PB0810	PB0810_10xNEW	Am	Pla	7.0139	49.8265	36.12	40.8779	196	921	809	High	42.32192741	2.08876648	1200.43	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-1_Am_Pla_pb0810_v3.5.sorted.BXnum.merged.bam	FR	
pb0836	PB0836	2x-N709-33_Am_Pla_pb0836	10xNEW-Plate9-2_Am_Pla_pb0836_v3.5	10xNEW	10xNEW_PB0836	PB0836_10xNEW	Am	Pla	9.3375	82.2817	36.09	41.1717	198	973	859	High	42.32203658	2.088543059	1198.539	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-2_Am_Pla_pb0836_v3.5.sorted.BXnum.merged.bam	FR	
pb0854	PB0854	2x-N709-34_Am_Pla_pb0854	10xNEW-Plate9-3_Am_Pla_pb0854_v3.5	10xNEW	10xNEW_PB0854	PB0854_10xNEW	Am	Pla	9.1982	75.828	36.15	41.376	201	970	856	High	42.32197903	2.088856628	1207.672	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-3_Am_Pla_pb0854_v3.5.sorted.BXnum.merged.bam	FR	
pb0860	PB0860	2x-N709-35_Am_Pla_pb0860	10xNEW-Plate9-4_Am_Pla_pb0860_v3.5	10xNEW	10xNEW_PB0860	PB0860_10xNEW	Am	Pla	8.6254	63.2544	36.08	41.471	199	959	845	High	42.3220043	2.088854029	1216.187	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-4_Am_Pla_pb0860_v3.5.sorted.BXnum.merged.bam	FR	
pb0861	PB0861	2x-N709-36_Am_Pla_pb0861	10xNEW-Plate9-5_Am_Pla_pb0861_v3.5	10xNEW	10xNEW_PB0861	PB0861_10xNEW	Am	Pla	9.8291	73.6572	36	41.2669	197	988	874	High	42.32197642	2.088830052	1206.207	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-5_Am_Pla_pb0861_v3.5.sorted.BXnum.merged.bam	FR	
pb0866	PB0866	2x-N709-37_Am_Pla_pb0866	10xNEW-Plate9-6_Am_Pla_pb0866_v3.5	10xNEW	10xNEW_PB0866	PB0866_10xNEW	Am	Pla	8.7643	116.7309	36.28	40.9037	193	961	847	High	42.32199236	2.088826588	1202.849	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-6_Am_Pla_pb0866_v3.5.sorted.BXnum.merged.bam	FR	
pb0868	PB0868	2x-N709-38_Am_Pla_pb0868	10xNEW-Plate9-7_Am_Pla_pb0868_v3.5	10xNEW	10xNEW_PB0868	PB0868_10xNEW	Am	Pla	7.4849	56.0676	36.02	41.2547	198	935	822	High	42.32199285	2.088840639	1198.246	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-7_Am_Pla_pb0868_v3.5.sorted.BXnum.merged.bam	FR	
pb0869	PB0869	2x-N709-39_Am_Pla_pb0869	10xNEW-Plate9-8_Am_Pla_pb0869_v3.5	10xNEW	10xNEW_PB0869	PB0869_10xNEW	Am	Pla	5.3559	36.9404	36.14	41.0385	194	898	793	High	42.3219662	2.08884629	1198.82	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-8_Am_Pla_pb0869_v3.5.sorted.BXnum.merged.bam	FR	
pb0871	PB0871	2x-N709-40_Am_Pla_pb0871	10xNEW-Plate9-9_Am_Pla_pb0871_v3.5	10xNEW	10xNEW_PB0871	PB0871_10xNEW	Am	Pla	6.6379	58.3852	36.25	40.8442	200	916	804	High	42.32194436	2.088690934	1204.187	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-9_Am_Pla_pb0871_v3.5.sorted.BXnum.merged.bam	FR	
pb0873	PB0873	2x-N709-41_Am_Pla_pb0873	10xNEW-Plate9-10_Am_Pla_pb0873_v3.5	10xNEW	10xNEW_PB0873	PB0873_10xNEW	Am	Pla	6.6042	50.438	36.02	40.8759	200	914	802	High	42.3219606	2.088826354	1198.444	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-10_Am_Pla_pb0873_v3.5.sorted.BXnum.merged.bam	FR	
pb0875	PB0875	2x-N710-2_Am_Pla_pb0875	10xNEW-Plate10-2_Am_Pla_pb0875_v3.5	10xNEW	10xNEW_PB0875	PB0875_10xNEW	Am	Pla	6.9909	81.473	35.92	40.8277	191	920	808	High	42.32513691	2.0592093	1248.875	YF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-2_Am_Pla_pb0875_v3.5.sorted.BXnum.merged.bam	H	
pb0876	PB0876	2x-N710-3_Am_Pla_pb0876	10xNEW-Plate10-3_Am_Pla_pb0876_v3.5	10xNEW	10xNEW_PB0876	PB0876_10xNEW	Am	Pla	13.2356	148.1353	36.07	41.3947	189	1050	936	High	42.32544702	2.052094968	1286.418	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-3_Am_Pla_pb0876_v3.5.sorted.BXnum.merged.bam	H	
pb0881	PB0881	2x-N709-42_Am_Pla_pb0881	10xNEW-Plate9-11_Am_Pla_pb0881_v3.5	10xNEW	10xNEW_PB0881	PB0881_10xNEW	Am	Pla	9.7532	122.0607	36.17	41.2636	193	985	871	High	42.32197483	2.088857886	1199.988	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-11_Am_Pla_pb0881_v3.5.sorted.BXnum.merged.bam	FR	
pb0883	PB0883	2x-N710-4_Am_Pla_pb0883	10xNEW-Plate10-4_Am_Pla_pb0883_v3.5	10xNEW	10xNEW_PB0883	PB0883_10xNEW	Am	Pla	11.679	116.2659	35.99	41.4708	192	1030	916	High	42.3254619	2.052093153	1279.997	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-4_Am_Pla_pb0883_v3.5.sorted.BXnum.merged.bam	Ye	
pb0888	PB0888	2x-N710-5_Am_Pla_pb0888	10xNEW-Plate10-5_Am_Pla_pb0888_v3.5	10xNEW	10xNEW_PB0888	PB0888_10xNEW	Am	Pla	13.533	118.4648	35.73	41.6469	188	1053	939	High	42.32545206	2.052228715	1283.586	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-5_Am_Pla_pb0888_v3.5.sorted.BXnum.merged.bam	Ye	
pb0893	PB0893	2x-N710-6_Am_Pla_pb0893	10xNEW-Plate10-6_Am_Pla_pb0893_v3.5	10xNEW	10xNEW_PB0893	PB0893_10xNEW	Am	Pla	12.301	70.6878	35.84	41.6227	193	1040	926	High	42.32544294	2.052212356	1286.362	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-6_Am_Pla_pb0893_v3.5.sorted.BXnum.merged.bam	Ye	
pb0894	PB0894	2x-N709-43_Am_Pla_pb0894	10xNEW-Plate9-12_Am_Pla_pb0894_v3.5	10xNEW	10xNEW_PB0894	PB0894_10xNEW	Am	Pla	8.0272	84.8363	36.12	41.0101	193	949	835	High	42.3219816	2.08885237	1205.953	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-12_Am_Pla_pb0894_v3.5.sorted.BXnum.merged.bam	FR	
pb0900	PB0900	2x-N710-7_Am_Pla_pb0900	10xNEW-Plate10-8_Am_Pla_pb0900_v3.5	10xNEW	10xNEW_PB0900	PB0900_10xNEW	Am	Pla	11.6255	173.4385	36.11	41.0201	188	1029	915	High	42.32511906	2.059221318	1249.136	YF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-8_Am_Pla_pb0900_v3.5.sorted.BXnum.merged.bam	Ye	
pb0912	PB0912	2x-N710-8_Am_Pla_pb0912	10xNEW-Plate10-9_Am_Pla_pb0912_v3.5	10xNEW	10xNEW_PB0912	PB0912_10xNEW	Am	Pla	10.8864	156.5073	36.27	41.0356	188	1013	899	High	42.32678211	2.05207874	1388.862	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-9_Am_Pla_pb0912_v3.5.sorted.BXnum.merged.bam	FR	
pb0952	PB0952	2x-N710-9_Am_Pla_pb0952	10xNEW-Plate10-10_Am_Pla_pb0952_v3.5	10xNEW	10xNEW_PB0952	PB0952_10xNEW	Am	Pla	12.1147	143.3756	36.07	41.4272	191	1038	924	High	42.32539646	2.059105439	1286.944	YF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-10_Am_Pla_pb0952_v3.5.sorted.BXnum.merged.bam	H	
pb0960	PB0960	2x-N710-10_Am_Pla_pb0960	10xNEW-Plate10-11_Am_Pla_pb0960_v3.5	10xNEW	10xNEW_PB0960	PB0960_10xNEW	Am	Pla	10.3616	149.1656	36	41.0276	185	1003	889	High	42.32447164	2.06492792	1224.79	YF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-11_Am_Pla_pb0960_v3.5.sorted.BXnum.merged.bam	Ye	
pb1000	PB1000	2x-N709-45_Am_Pla_pb1000	10xNEW-Plate9-13_Am_Pla_pb1000_v3.5	10xNEW	10xNEW_PB1000	PB1000_10xNEW	Am	Pla	6.714	77.6389	36.26	40.8594	205	917	805	High	42.32090347	2.096069209	1243.374	MF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-13_Am_Pla_pb1000_v3.5.sorted.BXnum.merged.bam	FR	
pb1009	PB1009	2x-N709-46_Am_Pla_pb1009	10xNEW-Plate9-15_Am_Pla_pb1009_v3.5	10xNEW	10xNEW_PB1009	PB1009_10xNEW	Am	Pla	8.774	69.6345	36.05	41.2271	201	962	848	High	42.32192965	2.088711132	1198.744	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-15_Am_Pla_pb1009_v3.5.sorted.BXnum.merged.bam	FR	
pb1014	PB1014	2x-N709-47_Am_Pla_pb1014	10xNEW-Plate9-16_Am_Pla_pb1014_v3.5	10xNEW	10xNEW_PB1014	PB1014_10xNEW	Am	Pla	9.3021	66.3394	36.04	41.2574	202	972	858	High	42.32198206	2.088579346	1197.501	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-16_Am_Pla_pb1014_v3.5.sorted.BXnum.merged.bam	FR	
pb1046	PB1046	2x-N709-48_Am_Pla_pb1046	10xNEW-Plate9-18_Am_Pla_pb1046_v3.5	10xNEW	10xNEW_PB1046	PB1046_10xNEW	Am	Pla	10.0439	134.4921	36.27	40.9906	193	993	879	High	42.32089528	2.095848073	1242.141	MF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-18_Am_Pla_pb1046_v3.5.sorted.BXnum.merged.bam	FR	
pb1047	PB1047	2x-N709-49_Am_Pla_pb1047	10xNEW-Plate9-19_Am_Pla_pb1047_v3.5	10xNEW	10xNEW_PB1047	PB1047_10xNEW	Am	Pla	7.4093	75.1415	36.2	40.8637	194	932	819	High	42.32089602	2.095960212	1242.685	MF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-19_Am_Pla_pb1047_v3.5.sorted.BXnum.merged.bam	FR	
pb1048	PB1048	2x-N709-50_Am_Pla_pb1048	10xNEW-Plate9-20_Am_Pla_pb1048_v3.5	10xNEW	10xNEW_PB1048	PB1048_10xNEW	Am	Pla	8.3492	97.6111	36.2	41.0278	192	956	842	High	42.3209054	2.095844255	1239.318	MF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-20_Am_Pla_pb1048_v3.5.sorted.BXnum.merged.bam	H	
pb1053	PB1053	2x-N709-51_Am_Pla_pb1053	10xNEW-Plate9-21_Am_Pla_pb1053_v3.5	10xNEW	10xNEW_PB1053	PB1053_10xNEW	Am	Pla	7.8359	86.6423	36.19	40.7952	193	947	833	High	42.32089134	2.096049316	1244.703	MF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-21_Am_Pla_pb1053_v3.5.sorted.BXnum.merged.bam	FR	
pb1060	PB1060	2x-N709-52_Am_Pla_pb1060	10xNEW-Plate9-22_Am_Pla_pb1060_v3.5	10xNEW	10xNEW_PB1060	PB1060_10xNEW	Am	Pla	7.6839	119.5415	36.39	40.5189	198	941	827	High	42.32089684	2.095843305	1239.984	MF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-22_Am_Pla_pb1060_v3.5.sorted.BXnum.merged.bam	FR	
pb1085	PB1085	2x-N710-11_Am_Pla_pb1085	10xNEW-Plate10-12_Am_Pla_pb1085_v3.5	10xNEW	10xNEW_PB1085	PB1085_10xNEW	Am	Pla	9.6727	125.0647	36.06	41.2286	189	983	869	High	42.32548105	2.052122483	1282.599	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-12_Am_Pla_pb1085_v3.5.sorted.BXnum.merged.bam	Ye	
pb1088	PB1088	2x-N710-12_Am_Pla_pb1088	10xNEW-Plate10-13_Am_Pla_pb1088_v3.5	10xNEW	10xNEW_PB1088	PB1088_10xNEW	Am	Pla	9.5694	86.418	35.88	41.1194	197	979	865	High	42.32551072	2.05233046	1279.519	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-13_Am_Pla_pb1088_v3.5.sorted.BXnum.merged.bam	Ye	
pb1092	PB1092	2x-N710-13_Am_Pla_pb1092	10xNEW-Plate10-14_Am_Pla_pb1092_v3.5	10xNEW	10xNEW_PB1092	PB1092_10xNEW	Am	Pla	10.6402	158.1169	36.12	41.0782	189	1007	893	High	42.32549772	2.052189549	1282.839	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-14_Am_Pla_pb1092_v3.5.sorted.BXnum.merged.bam	Ye	
pb1093	PB1093	2x-N710-14_Am_Pla_pb1093	10xNEW-Plate10-15_Am_Pla_pb1093_v3.5	10xNEW	10xNEW_PB1093	PB1093_10xNEW	Am	Pla	11.3666	111.0062	35.97	41.4105	190	1023	909	High	42.32549423	2.0522691	1280.141	YF3	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-15_Am_Pla_pb1093_v3.5.sorted.BXnum.merged.bam	Ye	
pb1164	PB1164	2x-N710-15_Am_Pla_pb1164	10xNEW-Plate10-16_Am_Pla_pb1164_v3.5	10xNEW	10xNEW_PB1164	PB1164_10xNEW	Am	Pla	10.8526	92.3066	35.73	41.4133	188	1012	898	High	42.32450987	2.064832183	1223.198	YF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-16_Am_Pla_pb1164_v3.5.sorted.BXnum.merged.bam	Ye	
pb1166	PB1166	2x-N710-16_Am_Pla_pb1166	10xNEW-Plate10-17_Am_Pla_pb1166_v3.5	10xNEW	10xNEW_PB1166	PB1166_10xNEW	Am	Pla	10.3425	99.2738	35.94	41.2917	189	1002	888	High	42.32454739	2.064646871	1225.484	YF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-17_Am_Pla_pb1166_v3.5.sorted.BXnum.merged.bam	H	
pb1172	PB1172	2x-N710-17_Am_Pla_pb1172	10xNEW-Plate10-18_Am_Pla_pb1172_v3.5	10xNEW	10xNEW_PB1172	PB1172_10xNEW	Am	Pla	6.3294	58.8818	35.8	41.3904	182	911	799	High	42.32454781	2.064591324	1226.713	YF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-18_Am_Pla_pb1172_v3.5.sorted.BXnum.merged.bam	Ye	
pb1179	PB1179	2x-N710-18_Am_Pla_pb1179	10xNEW-Plate10-19_Am_Pla_pb1179_v3.5	10xNEW	10xNEW_PB1179	PB1179_10xNEW	Am	Pla	8.854	103.4294	35.92	41.1024	190	965	851	High	42.32459929	2.064328275	1223.867	YF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate10-19_Am_Pla_pb1179_v3.5.sorted.BXnum.merged.bam	H	
pb1188	PB1188	2x-N709-53_Am_Pla_pb1188	10xNEW-Plate9-23_Am_Pla_pb1188_v3.5	10xNEW	10xNEW_PB1188	PB1188_10xNEW	Am	Pla	7.2095	82.0248	36.2	40.8414	198	926	814	High	42.32353231	2.084468485	1189.492	MF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-23_Am_Pla_pb1188_v3.5.sorted.BXnum.merged.bam	FR	
pb1191	PB1191	2x-N709-54_Am_Pla_pb1191	10xNEW-Plate9-24_Am_Pla_pb1191_v3.5	10xNEW	10xNEW_PB1191	PB1191_10xNEW	Am	Pla	9.4657	119.7492	36.12	41.0134	192	978	864	High	42.32352187	2.084472928	1191.118	MF1	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-24_Am_Pla_pb1191_v3.5.sorted.BXnum.merged.bam	FR	
pb1192	PB1192	2x-N709-55_Am_Pla_pb1192	10xNEW-Plate9-25_Am_Pla_pb1192_v3.5	10xNEW	10xNEW_PB1192	PB1192_10xNEW	Am	Pla	7.1185	114.6619	36.51	40.5393	199	924	812	High	42.32187218	2.088602724	1228.549	MF2	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10xNEW-Plate9-25_Am_Pla_pb1192_v3.5.sorted.BXnum.merged.bam	FR	
